iter	RMSE
0	1812.957784
1	1811.04011
2	1810.022921
3	1808.637657
4	1806.94701
5	1805.721212
6	1803.807911
7	1802.410194
8	1801.260927
9	1799.604745
10	1798.169959
11	1797.132903
12	1796.362065
13	1795.152153
14	1794.481477
15	1793.27679
16	1792.325073
17	1791.645617
18	1790.994863
19	1789.990724
20	1789.470595
21	1789.156165
22	1788.574867
23	1787.155826
24	1786.161857
25	1785.646141
26	1785.132147
27	1784.360117
28	1783.577989
29	1782.88755
30	1782.502514
31	1782.090607
32	1781.579436
33	1781.020142
34	1780.203335
35	1779.299112
36	1778.795155
37	1778.066618
38	1777.504151
39	1777.084073
40	1776.412961
41	1775.729062
42	1775.230914
43	1774.400801
44	1773.654952
45	1773.17244
46	1771.742437
47	1770.591063
48	1769.919234
49	1769.214984
50	1768.433254
51	1767.544393
52	1766.778136
53	1766.130556
54	1765.577185
55	1764.836529
56	1763.998655
57	1763.148213
58	1762.370095
59	1761.598643
60	1760.696084
61	1759.876057
62	1758.935792
63	1758.002382
64	1757.179794
65	1756.342046
66	1755.611923
67	1754.765994
68	1753.946849
69	1753.069638
70	1752.463081
71	1751.637655
72	1751.038735
73	1750.247239
74	1749.501578
75	1748.987222
76	1748.467857
77	1747.734356
78	1747.068738
79	1746.243133
80	1745.218337
81	1744.366489
82	1743.722921
83	1743.017773
84	1742.205787
85	1741.418385
86	1740.842768
87	1740.18934
88	1739.676266
89	1738.88906
90	1738.183461
91	1737.20441
92	1736.502592
93	1735.618752
94	1734.864325
95	1734.106879
96	1733.551163
97	1732.736762
98	1731.933233
99	1731.149754
100	1730.688305
101	1730.017949
102	1729.363176
103	1728.769829
104	1727.863594
105	1727.134484
106	1726.115539
107	1725.532929
108	1724.792342
109	1724.3369
110	1723.507242
111	1722.782157
112	1722.233573
113	1721.688533
114	1721.098774
115	1720.113749
116	1719.600968
117	1719.02942
118	1718.54189
119	1718.144121
120	1717.451517
121	1717.016765
122	1716.187086
123	1715.785433
124	1715.136961
125	1714.525686
126	1713.82915
127	1712.978276
128	1712.276316
129	1711.718136
130	1711.1248
131	1710.449727
132	1709.936464
133	1709.469833
134	1708.728538
135	1708.392804
136	1707.848778
137	1707.18316
138	1706.610345
139	1705.91191
140	1705.256821
141	1704.468793
142	1703.849997
143	1703.508475
144	1702.904394
145	1702.405716
146	1701.569811
147	1701.070146
148	1700.410464
149	1699.857924
150	1699.226485
151	1698.656618
152	1698.007365
153	1697.508826
154	1696.838238
155	1696.082005
156	1695.570249
157	1694.954485
158	1694.208703
159	1693.643861
160	1692.843289
161	1692.209533
162	1691.596597
163	1691.038121
164	1690.609616
165	1690.100172
166	1689.353032
167	1688.565373
168	1687.849621
169	1687.267915
170	1686.625558
171	1686.012128
172	1685.69485
173	1685.335789
174	1684.866442
175	1684.392651
176	1683.702304
177	1682.725181
178	1682.12785
179	1681.663674
180	1681.206834
181	1680.579313
182	1679.913964
183	1679.395115
184	1678.849157
185	1678.392941
186	1677.898627
187	1677.509468
188	1677.187744
189	1676.504702
190	1676.021255
191	1675.495183
192	1675.131854
193	1674.624129
194	1673.933452
195	1673.553934
196	1673.117719
197	1672.661219
198	1672.000676
199	1671.613446
200	1671.02287
201	1670.338965
202	1669.86812
203	1669.348221
204	1668.819036
205	1668.447388
206	1667.951684
207	1667.524055
208	1666.951106
209	1666.518108
210	1666.079668
211	1665.373517
212	1664.395298
213	1663.82114
214	1663.520997
215	1662.901021
216	1662.314051
217	1661.606541
218	1660.965533
219	1660.535868
220	1659.980721
221	1659.573716
222	1659.208552
223	1658.759589
224	1658.323723
225	1657.857141
226	1657.377846
227	1656.964597
228	1656.527316
229	1656.045128
230	1655.736327
231	1655.217318
232	1654.535669
233	1653.749778
234	1653.226345
235	1652.74758
236	1652.084774
237	1651.510974
238	1651.077216
239	1650.826357
240	1650.430259
241	1650.055515
242	1649.650146
243	1649.149997
244	1648.511768
245	1647.970228
246	1647.548878
247	1647.171205
248	1646.362335
249	1645.847068
250	1645.277898
251	1644.991875
252	1644.610454
253	1644.040977
254	1643.536721
255	1643.09354
256	1642.818156
257	1642.430087
258	1641.719065
259	1641.115324
260	1640.231551
261	1639.738804
262	1639.227516
263	1638.858461
264	1638.460347
265	1637.981104
266	1637.567542
267	1636.965457
268	1636.441833
269	1635.991288
270	1635.423382
271	1634.994727
272	1634.162315
273	1633.576663
274	1632.905749
275	1632.595276
276	1632.179317
277	1631.648693
278	1631.17788
279	1630.552724
280	1630.007691
281	1629.280992
282	1628.822518
283	1628.396133
284	1627.8847
285	1627.545228
286	1627.087403
287	1626.460181
288	1625.951151
289	1625.498668
290	1624.909389
291	1624.575646
292	1624.162758
293	1623.871787
294	1623.326986
295	1622.861818
296	1622.584638
297	1622.031244
298	1621.593806
299	1620.903097
300	1620.542525
301	1620.138032
302	1619.638982
303	1619.064265
304	1618.612408
305	1618.365324
306	1617.988414
307	1617.442507
308	1616.854539
309	1616.28908
310	1615.83293
311	1615.472659
312	1614.87474
313	1614.478273
314	1613.849974
315	1613.474174
316	1613.223229
317	1612.706564
318	1612.292262
319	1611.731587
320	1611.332833
321	1610.979649
322	1610.555778
323	1610.075306
324	1609.519487
325	1609.155789
326	1608.711855
327	1608.273577
328	1607.908337
329	1607.372721
330	1606.967632
331	1606.604222
332	1606.099918
333	1605.571433
334	1605.211959
335	1604.708594
336	1604.246353
337	1603.891826
338	1603.479207
339	1602.776764
340	1602.450929
341	1602.095786
342	1601.58403
343	1600.975407
344	1600.587729
345	1600.232554
346	1599.72229
347	1599.151877
348	1598.638047
349	1598.387837
350	1597.982722
351	1597.483773
352	1596.981907
353	1596.136691
354	1595.76847
355	1595.267878
356	1594.821402
357	1594.352372
358	1593.829071
359	1593.372499
360	1592.934068
361	1592.451073
362	1591.959168
363	1591.645085
364	1591.04174
365	1590.554725
366	1590.265813
367	1589.800627
368	1589.209176
369	1588.726768
370	1588.131824
371	1587.614369
372	1587.372584
373	1586.994891
374	1586.536952
375	1586.221972
376	1585.585577
377	1585.052039
378	1584.546904
379	1584.063084
380	1583.593662
381	1583.311989
382	1582.74762
383	1582.180721
384	1581.803212
385	1581.455981
386	1581.005376
387	1580.553776
388	1580.128395
389	1579.704301
390	1579.272186
391	1578.677985
392	1578.317882
393	1577.77875
394	1577.566026
395	1577.279206
396	1576.757688
397	1576.235731
398	1575.762255
399	1575.405903
400	1574.9751
401	1574.419563
402	1574.158311
403	1573.687737
404	1573.342756
405	1572.860108
406	1572.296778
407	1571.66102
408	1571.164053
409	1570.821275
410	1570.340295
411	1569.757304
412	1569.466693
413	1569.226692
414	1568.907286
415	1568.483091
416	1568.051324
417	1567.588904
418	1567.252589
419	1566.821487
420	1566.552548
421	1566.248242
422	1565.97325
423	1565.645273
424	1565.413684
425	1565.104475
426	1564.603271
427	1564.055974
428	1563.77012
429	1563.363355
430	1563.036436
431	1562.627122
432	1562.401671
433	1562.056654
434	1561.702079
435	1561.185601
436	1560.791577
437	1560.423627
438	1560.035783
439	1559.612138
440	1559.247319
441	1558.969482
442	1558.698205
443	1558.279282
444	1557.755972
445	1557.367472
446	1556.868379
447	1556.643562
448	1556.280438
449	1555.947234
450	1555.589785
451	1555.293186
452	1554.781755
453	1554.196246
454	1553.753282
455	1553.326816
456	1552.753594
457	1552.442414
458	1551.97043
459	1551.568341
460	1551.310375
461	1550.84676
462	1550.240111
463	1549.730459
464	1549.102003
465	1548.586449
466	1548.139733
467	1547.762693
468	1547.375342
469	1546.828953
470	1546.665812
471	1546.039143
472	1545.662662
473	1545.292463
474	1544.956421
475	1544.382227
476	1544.053822
477	1543.610602
478	1543.336729
479	1542.891445
480	1542.255925
481	1541.6985
482	1541.367808
483	1540.945959
484	1540.680767
485	1540.284807
486	1539.96591
487	1539.457875
488	1539.145001
489	1538.734247
490	1538.315114
491	1537.825548
492	1537.513259
493	1537.013625
494	1536.518271
495	1536.150729
496	1535.738981
497	1535.390023
498	1534.951478
499	1534.576795
500	1534.203362
501	1533.537089
502	1533.304981
503	1532.880513
504	1532.523708
505	1532.067411
506	1531.555566
507	1531.02558
508	1530.644447
509	1530.254443
510	1530.11084
511	1529.748136
512	1529.424318
513	1529.274985
514	1528.519535
515	1528.251625
516	1527.727611
517	1527.289761
518	1526.916472
519	1526.552551
520	1525.956964
521	1525.505668
522	1525.209428
523	1524.730039
524	1524.277809
525	1523.895118
526	1523.322151
527	1522.921434
528	1522.477479
529	1522.245941
530	1521.741252
531	1521.459927
532	1521.027569
533	1520.50631
534	1520.234263
535	1519.829722
536	1519.628579
537	1518.927056
538	1518.47704
539	1518.199862
540	1517.989503
541	1517.627521
542	1517.314379
543	1517.078153
544	1516.583002
545	1515.938249
546	1515.448199
547	1514.887246
548	1514.402533
549	1514.240807
550	1513.847255
551	1513.283279
552	1512.803706
553	1511.966189
554	1511.512479
555	1511.106993
556	1510.814986
557	1510.476158
558	1510.168962
559	1509.726327
560	1509.28787
561	1508.81992
562	1508.477592
563	1507.951945
564	1507.514091
565	1507.148439
566	1506.741353
567	1506.439577
568	1506.262397
569	1505.715111
570	1505.178718
571	1504.845468
572	1504.634627
573	1504.228672
574	1503.892344
575	1503.436775
576	1503.007974
577	1502.725135
578	1502.284302
579	1501.937259
580	1501.579648
581	1501.293205
582	1501.074265
583	1500.847788
584	1500.506679
585	1500.051946
586	1499.708207
587	1499.380159
588	1499.067058
589	1498.671948
590	1498.342795
591	1498.196788
592	1497.946334
593	1497.466717
594	1496.924692
595	1496.537368
596	1496.042965
597	1495.547543
598	1495.291661
599	1494.762587
600	1494.34232
601	1493.961938
602	1493.637207
603	1493.369229
604	1492.871195
605	1492.703493
606	1492.369323
607	1492.036842
608	1491.748903
609	1491.345348
610	1490.996987
611	1490.738728
612	1490.502743
613	1490.220409
614	1489.866567
615	1489.56944
616	1489.201033
617	1489.008852
618	1488.658889
619	1488.260669
620	1487.850103
621	1487.479743
622	1487.301191
623	1486.873529
624	1486.496456
625	1486.221189
626	1485.856117
627	1485.445382
628	1485.017986
629	1484.48536
630	1484.19504
631	1483.874881
632	1483.567584
633	1483.080149
634	1482.731181
635	1482.36769
636	1482.054145
637	1481.748858
638	1481.464891
639	1481.377381
640	1480.989667
641	1480.398328
642	1479.996193
643	1479.657339
644	1479.224441
645	1478.679034
646	1478.299636
647	1478.025791
648	1477.682962
649	1477.282378
650	1476.993696
651	1476.592659
652	1476.343833
653	1476.165076
654	1475.816779
655	1475.49352
656	1475.001634
657	1474.553778
658	1474.225257
659	1473.855774
660	1473.459664
661	1473.024365
662	1472.716126
663	1472.289561
664	1471.929394
665	1471.53616
666	1471.122643
667	1470.884453
668	1470.294067
669	1469.797424
670	1469.461039
671	1469.109487
672	1468.653556
673	1468.349245
674	1467.896832
675	1467.494772
676	1467.125152
677	1466.760409
678	1466.480294
679	1465.901094
680	1465.523318
681	1465.06935
682	1464.646752
683	1464.27321
684	1463.829199
685	1463.507205
686	1463.249815
687	1462.763264
688	1462.514584
689	1462.17627
690	1461.806978
691	1461.497214
692	1461.158298
693	1460.804174
694	1460.403622
695	1459.906792
696	1459.741778
697	1459.350274
698	1458.90361
699	1458.499659
700	1458.318707
701	1457.906241
702	1457.526435
703	1457.179563
704	1456.778652
705	1456.288978
706	1455.868134
707	1455.576577
708	1455.149831
709	1454.771259
710	1454.320522
711	1453.812295
712	1453.461531
713	1453.218907
714	1452.974658
715	1452.550921
716	1452.313024
717	1451.965497
718	1451.546008
719	1451.019033
720	1450.675805
721	1450.402964
722	1450.232599
723	1449.726582
724	1449.425031
725	1449.219643
726	1448.868622
727	1448.510172
728	1448.25431
729	1447.815647
730	1447.391254
731	1447.004203
732	1446.744607
733	1446.254089
734	1445.980817
735	1445.752775
736	1445.422851
737	1445.025937
738	1444.789231
739	1444.544707
740	1444.083685
741	1443.797649
742	1443.686314
743	1443.455091
744	1443.193055
745	1442.934833
746	1442.651767
747	1442.263403
748	1441.885815
749	1441.640097
750	1441.24329
751	1440.877584
752	1440.469213
753	1440.241884
754	1440.046443
755	1439.761815
756	1439.277192
757	1438.984682
758	1438.549058
759	1438.37355
760	1438.255865
761	1437.957177
762	1437.638606
763	1437.332544
764	1436.921576
765	1436.523257
766	1436.051992
767	1435.749512
768	1435.446574
769	1435.206737
770	1434.864146
771	1434.527582
772	1434.164845
773	1434.012087
774	1433.635151
775	1433.43021
776	1433.073811
777	1432.679721
778	1432.369968
779	1432.039151
780	1431.500961
781	1431.178229
782	1430.663476
783	1430.491052
784	1430.112843
785	1429.893316
786	1429.563262
787	1429.216627
788	1428.91584
789	1428.516669
790	1428.124493
791	1427.767189
792	1427.490042
793	1427.119909
794	1426.72558
795	1426.403892
796	1425.955909
797	1425.632619
798	1425.302766
799	1424.943517
800	1424.618028
801	1424.278813
802	1423.933787
803	1423.702967
804	1423.348335
805	1422.94589
806	1422.585404
807	1422.166902
808	1421.715638
809	1421.329164
810	1421.022401
811	1420.794503
812	1420.576101
813	1420.308363
814	1419.984052
815	1419.60958
816	1419.225032
817	1418.947205
818	1418.576363
819	1418.14572
820	1417.778185
821	1417.283637
822	1416.984461
823	1416.672342
824	1416.141434
825	1415.878485
826	1415.469786
827	1415.15168
828	1414.844478
829	1414.492995
830	1414.248971
831	1413.904899
832	1413.573509
833	1413.187305
834	1412.760062
835	1412.502764
836	1412.301503
837	1411.963362
838	1411.633856
839	1411.23521
840	1411.053539
841	1410.684344
842	1410.329099
843	1409.973942
844	1409.603216
845	1409.317233
846	1408.905117
847	1408.757016
848	1408.238752
849	1407.902637
850	1407.683023
851	1407.218138
852	1406.893538
853	1406.559453
854	1406.18008
855	1405.565172
856	1405.253832
857	1404.913418
858	1404.669294
859	1404.302274
860	1404.030077
861	1403.753465
862	1403.355598
863	1402.98285
864	1402.67506
865	1402.405226
866	1402.16773
867	1401.762791
868	1401.334319
869	1400.952132
870	1400.570127
871	1400.091215
872	1399.852225
873	1399.451622
874	1399.145407
875	1398.895381
876	1398.555366
877	1398.288253
878	1397.986917
879	1397.689778
880	1397.404151
881	1397.114817
882	1396.853895
883	1396.523672
884	1396.285846
885	1395.863633
886	1395.540507
887	1395.212547
888	1394.987702
889	1394.671641
890	1394.447212
891	1393.965666
892	1393.581107
893	1393.192133
894	1392.906346
895	1392.614473
896	1392.28492
897	1391.926156
898	1391.724734
899	1391.361863
900	1391.048131
901	1390.901866
902	1390.627795
903	1390.258331
904	1389.962816
905	1389.643125
906	1389.372368
907	1389.112651
908	1388.578816
909	1388.246748
910	1387.849999
911	1387.674855
912	1387.252431
913	1386.915478
914	1386.579478
915	1386.236598
916	1386.107248
917	1385.869627
918	1385.540106
919	1385.179019
920	1384.627417
921	1384.348356
922	1383.812461
923	1383.514081
924	1383.308227
925	1383.093617
926	1382.791708
927	1382.28535
928	1381.968848
929	1381.594989
930	1381.406137
931	1381.042272
932	1380.662834
